"key","value","date"
"15th & P St NW",0,2014-03-31 20:00:00
"15th & P St NW",0,2014-03-31 20:15:00
"15th & P St NW",0,2014-03-31 20:30:00
"15th & P St NW",0,2014-03-31 20:45:00
"15th & P St NW",0,2014-03-31 21:00:00
"15th & P St NW",0,2014-03-31 21:15:00
"15th & P St NW",0,2014-03-31 21:30:00
"15th & P St NW",1,2014-03-31 21:45:00
"15th & P St NW",1,2014-03-31 22:00:00
"15th & P St NW",1,2014-03-31 22:15:00
"15th & P St NW",1,2014-03-31 22:30:00
"15th & P St NW",1,2014-03-31 22:45:00
"15th & P St NW",1,2014-03-31 23:00:00
"15th & P St NW",1,2014-03-31 23:15:00
"15th & P St NW",1,2014-03-31 23:30:00
"15th & P St NW",1,2014-03-31 23:45:00
"15th & P St NW",1,2014-04-01 00:00:00
"15th & P St NW",1,2014-04-01 00:15:00
"15th & P St NW",1,2014-04-01 00:30:00
"15th & P St NW",1,2014-04-01 00:45:00
"15th & P St NW",1,2014-04-01 01:00:00
"15th & P St NW",1,2014-04-01 01:15:00
"15th & P St NW",1,2014-04-01 01:30:00
"15th & P St NW",4,2014-04-01 01:45:00
"15th & P St NW",4,2014-04-01 02:00:00
"15th & P St NW",6,2014-04-01 02:15:00
"15th & P St NW",5,2014-04-01 02:30:00
"15th & P St NW",6,2014-04-01 02:45:00
"15th & P St NW",7,2014-04-01 03:00:00
"15th & P St NW",7,2014-04-01 03:15:00
"15th & P St NW",6,2014-04-01 03:30:00
"15th & P St NW",7,2014-04-01 03:45:00
"15th & P St NW",7,2014-04-01 04:00:00
"15th & P St NW",4,2014-04-01 04:15:00
"15th & P St NW",1,2014-04-01 04:30:00
"15th & P St NW",4,2014-04-01 04:45:00
"15th & P St NW",4,2014-04-01 05:00:00
"15th & P St NW",3,2014-04-01 05:15:00
"15th & P St NW",1,2014-04-01 05:30:00
"15th & P St NW",0,2014-04-01 05:45:00
"15th & P St NW",1,2014-04-01 06:00:00
"15th & P St NW",3,2014-04-01 06:15:00
"15th & P St NW",3,2014-04-01 06:30:00
"15th & P St NW",5,2014-04-01 06:45:00
"15th & P St NW",8,2014-04-01 07:00:00
"15th & P St NW",9,2014-04-01 07:15:00
"15th & P St NW",8,2014-04-01 07:30:00
"15th & P St NW",7,2014-04-01 07:45:00
"15th & P St NW",7,2014-04-01 08:00:00
"15th & P St NW",6,2014-04-01 08:15:00
"15th & P St NW",7,2014-04-01 08:30:00
"15th & P St NW",9,2014-04-01 08:45:00
"15th & P St NW",7,2014-04-01 09:00:00
"15th & P St NW",7,2014-04-01 09:15:00
"15th & P St NW",8,2014-04-01 09:30:00
"15th & P St NW",7,2014-04-01 09:45:00
"15th & P St NW",6,2014-04-01 10:00:00
"15th & P St NW",3,2014-04-01 10:15:00
"15th & P St NW",5,2014-04-01 10:30:00
"15th & P St NW",3,2014-04-01 10:45:00
"15th & P St NW",3,2014-04-01 11:00:00
"15th & P St NW",2,2014-04-01 11:15:00
"15th & P St NW",2,2014-04-01 11:30:00
"15th & P St NW",2,2014-04-01 11:45:00
"15th & P St NW",3,2014-04-01 12:00:00
"15th & P St NW",3,2014-04-01 12:15:00
"15th & P St NW",3,2014-04-01 12:30:00
"15th & P St NW",6,2014-04-01 12:45:00
"15th & P St NW",9,2014-04-01 13:00:00
"15th & P St NW",13,2014-04-01 13:15:00
"15th & P St NW",17,2014-04-01 13:30:00
"15th & P St NW",18,2014-04-01 13:45:00
"15th & P St NW",18,2014-04-01 14:00:00
"15th & P St NW",20,2014-04-01 14:15:00
"15th & P St NW",19,2014-04-01 14:30:00
"15th & P St NW",28,2014-04-01 14:45:00
"15th & P St NW",25,2014-04-01 15:00:00
"15th & P St NW",25,2014-04-01 15:15:00
"15th & P St NW",22,2014-04-01 15:30:00
"15th & P St NW",26,2014-04-01 15:45:00
"15th & P St NW",22,2014-04-01 16:00:00
"15th & P St NW",24,2014-04-01 16:15:00
"15th & P St NW",23,2014-04-01 16:30:00
"15th & P St NW",21,2014-04-01 16:45:00
"15th & P St NW",17,2014-04-01 17:00:00
"15th & P St NW",13,2014-04-01 17:15:00
"15th & P St NW",16,2014-04-01 17:30:00
"15th & P St NW",15,2014-04-01 17:45:00
"15th & P St NW",14,2014-04-01 18:00:00
"15th & P St NW",16,2014-04-01 18:15:00
"15th & P St NW",15,2014-04-01 18:30:00
"15th & P St NW",14,2014-04-01 18:45:00
"15th & P St NW",13,2014-04-01 19:00:00
"15th & P St NW",12,2014-04-01 19:15:00
"15th & P St NW",14,2014-04-01 19:30:00
"15th & P St NW",14,2014-04-01 19:45:00
"15th & P St NW",14,2014-04-01 20:00:00
"15th & P St NW",13,2014-04-01 20:15:00
"15th & P St NW",12,2014-04-01 20:30:00
